# t,ax,ay,az (t in seconds since start)
0.614633,3918,845,-2146
0.615833,3870,719,-2106
0.617034,3850,636,-2115
0.618234,3805,675,-2097
0.619435,3788,718,-2102
0.620635,3748,763,-2018
0.621836,3721,747,-1807
0.623036,3723,724,-1587
0.624236,3694,706,-1381
0.625437,3701,671,-1279
0.626637,3651,635,-1134
0.656573,3639,618,-964
0.657774,3634,615,-941
0.658974,3693,762,-820
0.660175,3760,827,-788
0.661375,3780,946,-654
0.662576,3780,916,-567
0.663776,3764,895,-313
0.664977,3751,873,87
0.666177,3745,950,478
0.667378,3724,1149,691
0.668578,3741,1270,1329
0.669779,3719,1432,1715
0.670979,3694,1483,2286
0.672180,3653,1960,2688
0.673380,3631,2128,3020
0.674580,3579,2262,3258
0.675781,3067,1342,3404
0.676981,2804,1554,3491
0.678182,3363,1260,4073
0.679382,3586,1065,4270
0.699665,3955,941,4440
0.700866,4084,674,4453
0.702066,4080,493,4433
0.703267,4066,491,4239
0.704467,4027,443,3904
0.705668,3965,743,3661
0.706868,3944,1360,3223
0.708069,3828,1940,2624
0.709269,3794,2249,2221
0.710470,3776,2674,2045
0.711670,3779,2929,1682
0.712871,3805,2956,1258
0.714071,3824,2951,862
0.715272,3837,2822,679
0.716472,3877,2752,345
0.717673,3905,2602,143
0.718873,3913,2459,104
0.720073,3942,2277,125
0.721274,3913,2144,183
0.722474,3870,1866,196
0.740067,3844,1613,273
0.741268,3760,1508,408
0.742468,3668,1317,602
0.743669,3640,1197,677
0.744869,3583,1104,659
0.746070,3505,1030,642
0.747270,3460,912,633
0.748471,3432,596,1164
0.749671,2975,-441,6585
0.750871,2139,-1078,15526
0.752072,2068,2261,18909
0.753272,3233,2796,12540
0.754473,3361,1335,1053
0.755673,3355,265,-2197
0.756874,3302,1661,-2071
0.758074,3408,2293,-685
0.759275,3843,2614,131
0.760475,3996,2574,268
0.761676,4111,2516,615
0.762876,4137,2526,1186
0.740186,4155,2414,1488
0.741386,4169,2048,1984
0.742587,4078,1802,2265
0.743787,3945,1232,2331
0.744988,3852,1259,2826
0.746188,3244,1896,1546
0.747389,4461,1011,970
0.748589,4025,773,1072
0.749790,3660,99,836
0.750990,3824,434,-192
0.752191,3721,617,-454
0.753391,3761,716,-585
0.754592,3815,726,-1211
0.755792,3918,702,-1716
0.756993,3902,399,-1878
0.758193,3971,106,-2101
0.759394,4017,-1,-2054
0.760594,4061,-51,-1930
0.761795,4070,46,-1792
0.762995,4071,155,-1415
0.801240,4077,514,-1027
0.802440,4049,877,-603
0.803640,3998,1173,-589
0.804841,3978,1335,-492
0.806041,3963,1525,-768
0.807242,3940,1569,-681
0.808442,3917,1527,-1104
0.809643,3881,1398,-1521
0.810843,3859,1105,-1619
0.812044,3832,857,-1642
0.813244,3802,786,-1529
0.814445,3782,795,-1477
0.815645,3774,841,-1362
0.816846,3754,871,-1256
0.818046,3661,844,-1192
0.819247,3678,784,-940
0.820447,3631,696,-896
0.821648,3610,647,-869
0.822848,3608,656,-863
0.824049,3620,763,-904
0.849217,3750,866,-846
0.850417,3801,1019,-740
0.851618,3815,1072,-656
0.852818,3775,1071,-398
0.854019,3737,1033,-43
0.855219,3721,993,192
0.856420,3673,942,564
0.857620,3641,988,1054
0.858821,3574,1063,1498
0.860021,3568,1284,1639
0.861222,3617,1362,1916
0.862422,3634,1590,2239
0.863623,3743,1808,2392
0.864823,4056,1683,2648
0.866023,3938,1859,3039
0.867224,3626,2094,2882
0.868424,3425,2052,2669
0.869625,2155,1539,2621
0.870825,2781,1531,3025
0.872026,2988,1393,3114
0.891381,3376,1266,3329
0.892582,3674,1156,3371
0.893782,3782,836,3350
0.894983,3808,589,3307
0.896183,3845,555,3066
0.897384,3868,683,2819
0.898584,3888,1059,2695
0.899785,3921,1528,2347
0.900985,3928,1776,1977
0.902186,3930,2246,1544
0.903386,3917,2617,1515
0.904587,3859,2726,2430
0.905787,3514,2697,3375
0.906988,3396,2139,3834
0.908188,3202,1620,5664
0.909389,3097,1389,10323
0.910589,3374,1512,8746
0.911790,3581,449,6214
0.912990,3536,104,3051
0.914190,3221,517,2048
0.944492,3104,1505,1949
0.945692,3120,1863,2153
0.946893,3256,2076,2218
0.948093,3352,2401,2166
0.949294,3510,2531,2091
0.950494,3641,2562,2119
0.951695,3718,2565,2231
0.952895,3817,2315,2208
0.954096,3922,2264,2228
0.955296,3899,2142,2167
0.956497,3642,2012,2034
0.957697,3833,1996,1927
0.958898,3761,1886,1702
0.960098,3781,1838,1548
0.961299,3581,-748,-1263
0.962499,5627,2583,141
0.963700,3736,1535,273
0.964900,3750,1360,203
0.966100,3476,850,362
0.967301,3644,834,-256
0.995337,3630,734,-306
0.996537,3685,755,-391
0.997738,3825,749,-815
0.998938,3922,704,-1238
1.000139,3881,435,-1317
1.001339,3921,221,-1478
1.002540,3938,163,-1694
1.003740,3943,86,-1942
1.004941,3960,75,-1936
1.006141,3979,87,-1818
1.007342,3995,236,-1463
1.008542,3995,516,-1172
1.009743,3972,928,-643
1.010943,3967,1172,-373
1.012144,3986,1549,-46
1.013344,3985,1766,-208
1.014545,3978,1805,-416
1.015745,3957,1799,-829
1.016945,3919,1665,-1086
1.018146,3895,1381,-1428
1.020494,3859,1203,-1472
1.021695,3853,1008,-1457
1.022895,3831,938,-1370
1.024096,3783,933,-1239
1.025296,3729,968,-1168
1.026497,3723,982,-1113
1.027697,3680,1001,-954
1.028898,3655,1006,-826
1.030098,3622,982,-757
1.031299,3634,978,-643
1.032499,3612,1000,-408
1.033700,3649,1043,-286
1.034900,3650,1218,-183
1.036101,3736,1304,-78
1.037301,3773,1482,100
1.038502,3780,1538,480
1.039702,3777,1418,326
1.040903,3744,1375,509
1.042103,3685,1292,752
1.043304,3686,1193,863
1.068484,4176,827,1021
1.069685,4019,1002,1261
1.070885,3663,1277,1295
1.072086,3708,1480,1356
1.073286,3588,1612,1544
1.074486,3595,1789,1862
1.075687,3551,1992,2003
1.076887,3568,2298,2189
1.078088,3497,2097,2392
1.079288,3457,2092,2409
1.080489,3441,1970,2392
1.081689,3365,1938,2515
1.082890,3302,1854,2618
1.084090,3256,1800,2682
1.085291,3034,1793,2871
1.086491,3009,1831,3617
1.087692,3149,1543,4092
1.088892,3402,925,4853
1.090093,3581,700,5371
1.091293,3610,612,5804
1.068606,3560,998,6355
1.069806,3512,1202,5092
1.071007,3400,1353,3937
